#boots	id	seq	opened_by	opened_at	opened_offset	bytes	closed_at
boot	542	542	power	1786905439697	5024887	0	1786905441440
boot	543	543	session	1786905441440	5024889	2743	1786905495560
boot	544	544	session	1786905495560	5027652	17355	1786905553677
boot	545	545	session	1786905553677	5045118	0	1786905567256
boot	546	546	power	1786905567256	5027650	0	1786905579210
boot	547	547	power	1786905579210	5045118	19801	1786905816536
#lines	id	boot_id	ts_wall	stream_offset	terminator	text
line	107013	544	1786905523793	5031809	crlf	 - 0x05A637000 [ 1160] ArmCpuDxe.efi
line	107014	544	1786905523793	5031847	crlf	After Create Event Status (0x0)
line	107015	544	1786905523793	5031880	crlf	 - 0x05A62E000 [ 1161] ArmGicDxe.efi
line	107016	544	1786905523793	5031918	crlf	 - 0x05A627000 [ 1162] MetronomeDxe.efi
line	107017	544	1786905523793	5031959	crlf	 - 0x05A61F000 [ 1162] ArmTimerDxe.efi
line	107018	544	1786905523793	5031999	crlf	 - 0x05A615000 [ 1162] SmemDxe.efi
line	107019	544	1786905523835	5032037	crlf	 - 0x05A5DF000 [ 1162] DALSys.efi
line	107020	544	1786905523835	5032072	crlf	 - 0x05A5D7000 [ 1163] HWIODxeDriver.efi
line	107021	544	1786905523898	5032116	crlf	 - 0x05A5CC000 [ 1163] ChipInfo.efi
line	107022	544	1786905523936	5032155	crlf	 - 0x05A5C4000 [ 1163] PlatformInfoDxeDriver.efi
line	107023	544	1786905523936	5032205	crlf	 - 0x05A58A000 [ 1164] HALIOMMU.efi
line	107024	544	1786905523936	5032242	crlf	 - 0x05A576000 [ 1170] ULogDxe.efi
line	107025	544	1786905523936	5032278	crlf	 - 0x05A568000 [ 1170] GlinkDxe.efi
line	107026	544	1786905523936	5032315	crlf	 - 0x05A54F000 [ 1173] NpaDxe.efi
line	107027	544	1786905523936	5032350	crlf	Module cannot re-initialize DAL module environment
line	107028	544	1786905523936	5032402	crlf	 - 0x05A544000 [ 1174] VcsDxe.efi
line	107029	544	1786905523936	5032437	crlf	 - 0x05A51E000 [ 1174] ClockDxe.efi
line	107030	544	1786905523936	5032474	crlf	 >>> Cluster 0: 1612800000 Hz
line	107031	544	1786905523978	5032507	crlf	 - 0x05A184000 [ 1175] ShmBridgeDxeLA.efi
line	107032	544	1786905523978	5032550	crlf	 - 0x05A173000 [ 1175] ScmDxeCompat.efi
line	107033	544	1786905523978	5032591	crlf	 - 0x05A512000 [ 1179] DALTLMM.efi
line	107034	544	1786905523978	5032627	crlf	 - 0x05A507000 [ 1182] SPMI.efi
line	107035	544	1786905524018	5032662	crlf	 - 0x05A4F7000 [ 1184] I2C.efi
line	107036	544	1786905524018	5032694	crlf	 - 0x05A4EB000 [ 1184] BoardInfoDxe.efi
line	107037	544	1786905524057	5032737	crlf	 - 0x05A16A000 [ 1185] ResetRuntimeDxe.efi
line	107038	544	1786905524057	5032781	crlf	 - 0x05A4E4000 [ 1185] Qup.efi
line	107039	544	1786905524057	5032813	crlf	 - 0x05A4C4000 [ 1185] PmicDxe.efi
line	107040	544	1786905524057	5032849	crlf	PM0: 55, 
line	107041	544	1786905524057	5032860	crlf	Module cannot re-initialize DAL module environment
line	107042	544	1786905524057	5032912	crlf	 - 0x05A15F000 [ 1191] DiskIoDxe.efi
line	107043	544	1786905524057	5032950	crlf	 - 0x05A152000 [ 1191] PartitionDxe.efi
line	107044	544	1786905524057	5032991	crlf	 - 0x05A14A000 [ 1191] EnglishDxe.efi
line	107045	544	1786905524057	5033030	crlf	 - 0x05A13F000 [ 1192] FvSimpleFileSystem.efi
line	107046	544	1786905524057	5033077	crlf	 - 0x05A11F000 [ 1192] SdccDxe.efi
line	107047	544	1786905524057	5033113	crlf	 - 0x05A0A9000 [ 1245] Fat.efi
line	107048	544	1786905524099	5033147	crlf	 - 0x05A099000 [ 1245] TzDxeLA.efi
line	107049	544	1786905524099	5033183	crlf	 - 0x05A003000 [ 1250] VariableDxe.efi
line	107050	544	1786905524099	5033223	crlf	tz_armv8_smc_call failed, TzStatus = 0xFFFFFFFF,  SmcId = 0x32000105  
line	107051	544	1786905524099	5033295	crlf	Status = 0x3
line	107052	544	1786905524099	5033309	crlf	APP_REGION_NOTIFICATION_CMD: Syscall Not Supported, status 3
line	107053	544	1786905524099	5033371	crlf	 - 0x059B93000 [ 1666] QcomWDogDxe.efi
line	107054	544	1786905524938	5033413	crlf	HW Wdog Setting from PCD : Disabled
line	107055	544	1786905524938	5033450	crlf	 - 0x059B8C000 [ 1667] WatchdogTimer.efi
line	107056	544	1786905525015	5033494	crlf	 - 0x059B84000 [ 1667] EmbeddedMonotonicCounter.efi
line	107057	544	1786905525015	5033547	crlf	 - 0x059B7B000 [ 1669] RealTimeClock.efi
line	107058	544	1786905525052	5033591	crlf	 - 0x059B54000 [ 1671] DevicePathDxe.efi
line	107059	544	1786905525052	5033633	crlf	 - 0x059B41000 [ 1671] CapsuleRuntimeDxe.efi
line	107060	544	1786905525052	5033679	crlf	 - 0x059AFA000 [ 1672] HiiDatabase.efi
line	107061	544	1786905525052	5033719	crlf	 - 0x059B72000 [ 1672] FontDxe.efi
line	107062	544	1786905525052	5033755	crlf	 - 0x0599D3000 [ 1678] QcomBds.efi
line	107063	544	1786905525052	5033791	crlf	 - 0x059AEF000 [ 1689] DDRInfoDxe.efi
line	107064	544	1786905525052	5033830	crlf	DALLOG Device [0x2000070]: HWIO: Unable to find "MC_CCMT
line	107065	544	1786905525052	5033888	crlf	ERROR: Failed to map MCCC_MCCC_MSTR base address: 0x00000018
line	107066	544	1786905525052	5033950	crlf	Error: Image at 00059AEF000 start failed: Not Found
line	107067	544	1786905525091	5034005	crlf	 - 0x059B39000 [ 1692] FeatureEnablerDxe.efi
line	107068	544	1786905525091	5034051	crlf	FeatureEnablerDxeInitialize: FeatureEnabler not supported for this chip
